JW_ID	Locustag K-12	Locustag MG1655	Gene name K-12	Locus name K-12	Synonyms of locus names K-12	Solubility(%)	yield_new(uM)	yield_new(ug/ml)	calculated MW(kDa)	calculated pI	Type of gene product	Gene product description	Cell location	Structure (PDB) id	SCOP assignment
JW0028	ECK0031	b0030	rihC	rihC	yaaF	57 	2.0 	66 	32.5 	6.1 	e	ribonucleoside hydrolase 3	Cytoplasmic		53590; Nucleoside hydrolase
JW0029	ECK0032	b0031	dapB	dapB		94 	2.0 	58 	28.7 	6.1 	e	dihydrodipicolinate reductase	Cytoplasmic		"51735; NAD(P)-binding Rossmann-fold domains -!- 55347; Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain"
JW0030	ECK0033	b0032	carA	carA	arg+ura -!- cap -!- pyrA -!- arg	60 	1.1 	44 	41.4 	6.4 	e	"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"	Cytoplasmic	1CE8	"52021; Carbamoyl phosphate synthetase, small subunit N-terminal domain -!- 52317; Class I glutamine amidotransferase-like"
JW0033	ECK0035	b0034	caiF	caiF		63 	1.1 	18 	15.4 	9.2 	r	DNA-binding transcriptional activator	Cytoplasmic		
JW5004	ECK0036	b0035	caiE	caiE		19 	3.1 	67 	21.2 	7.0 	pe	predicted acyl transferase	Cytoplasmic		51161; Trimeric LpxA-like enzymes
JW0035	ECK0037	b0036	caiD	caiD	yaaL	15 	2.3 	74 	32.3 	6.9 	e	crotonobetainyl CoA hydratase	Cytoplasmic		52096; ClpP/crotonase
JW0037	ECK0039	b0038	caiB	caiB	yaaN	55 	1.7 	79 	45.1 	5.5 	e	crotonobetainyl CoA:carnitine CoA transferase	Cytoplasmic		
JW0038	ECK0040	b0039	caiA	caiA	yaaO	41 	1.0 	43 	42.5 	5.6 	e	"crotonobetaine reductase subunit II, FAD-binding"	Cytoplasmic		"47203; Acyl-CoA dehydrogenase (flavoprotein), C-terminal domain -!- 56645; Acyl-CoA dehydrogenase (flavoprotein), N-terminal and middle domains"
JW0040	ECK0042	b0041	fixA	fixA	yaaQ	78 	2.0 	54 	27.1 	4.7 	pe	"predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain"	Cytoplasmic		52431; ETFP adenine nucleotide-binding domain-like
JW0041	ECK0043	b0042	fixB	fixB	yaaR	53 	3.5 	116 	33.5 	7.8 	pc	"predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like"	Cytoplasmic		52431; ETFP adenine nucleotide-binding domain-like -!- 52467; DHS-like NAD/FAD-binding domain
JW0042	ECK0044	b0043	fixC	fixC	yaaS	36 	1.6 	73 	45.7 	6.2 	pc	"predicted oxidoreductase, FAD/NAD(P)-binding domain"	Periplasmic		51905; FAD/NAD(P)-binding domain
JW0043	ECK0045	b0044	fixX	fixX	yaaT	83 	2.8 	29 	10.5 	6.8 	pc	predicted 4Fe-4S ferredoxin-type protein	Cytoplasmic		54862; 4Fe-4S ferredoxins
JW0045	ECK0047	b0046	kefF	kefF	yabF	34 	1.7 	33 	20.2 	6.5 	pc	flavoprotein subunit for the KefC potassium efflux system	Cytoplasmic		52218; Flavoproteins
JW0047	ECK0049	b0048	folA	folA	tmrA -!- tmr	81 	3.1 	56 	18.0 	5.7 	e	dihydrofolate reductase	Cytoplasmic	1DDS	53597; Dihydrofolate reductases
JW0048	ECK0050	b0049	apaH	apaH	cfcB	27 	1.8 	56 	31.3 	5.9 	e	diadenosine tetraphosphatase	Cytoplasmic		56300; Metallo-dependent phosphatases
JW0049	ECK0051	b0050	apaG	apaG	temP	67 	4.0 	55 	13.8 	6.1 	pt	protein associated with Co2+ and Mg2+ efflux	Cytoplasmic		
JW0051	ECK0053	b0052	pdxA	pdxA		95 	1.1 	40 	35.1 	6.4 	e	"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent"	Cytoplasmic	1PS6	
JW0052	ECK0054	b0053	surA	surA		86 	3.6 	168 	47.2 	7.6 	e	peptidyl-prolyl cis-trans isomerase (PPIase)	Periplasmic	1M5Y	54534; FKBP-like
JW0054	ECK0056	b0055	djlA	djlA	yabH	12 	4.2 	128 	30.6 	10.3 	f	"DnaJ-like protein, membrane anchored"	Membrane Anchored		46565; Chaperone J-domain
JW0055	ECK0057	b0056	yabP	yabP		33 	1.5 	38 	24.8 	9.9 	o	predicted protein	Cytoplasmic		
JW0057	ECK0059	b0058	rluA	rluA	yabO	44 	2.1 	52 	24.8 	8.6 	e	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	Cytoplasmic		
JW0058	ECK0060	b0059	hepA	hepA	rapA -!- yabA	38 	0.3 	33 	109.6 	5.0 	f	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0060	ECK0062	b0061	araD	araD		81 	2.7 	68 	25.5 	6.3 	e	L-ribulose-5-phosphate 4-epimerase	Cytoplasmic	1JDI	53639; Class II aldolase
JW0061	ECK0063	b0062	araA	araA		8 	1.0 	54 	56.0 	6.4 	e	L-arabinose isomerase	Cytoplasmic		
JW0062	ECK0064	b0063	araB	araB		30 	0.2 	15 	61.0 	5.6 	e	L-ribulokinase	Cytoplasmic		53067; Actin-like ATPase domain
JW0063	ECK0065	b0064	araC	araC		28 	0.7 	22 	33.4 	7.1 	r	DNA-binding transcriptional dual regulator	Cytoplasmic		46689; Homeodomain-like -!- 51215; Regulatory protein AraC
JW5005	ECK0066	b0065	yabI	yabI		18 	0.8 	24 	28.2 	10.5 	pm	conserved inner membrane protein	Integral Membrane Protein		
JW0065	ECK0067	b0066	thiQ	thiQ	sfuC -!- yabJ	9 	2.5 	64 	25.0 	9.8 	t	thiamin transporter subunit -!- ATP-binding component of ABC superfamily	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0066	ECK0068	b0067	thiP	thiP	sfuB -!- yabK	11 	0.2 	10 	59.5 	9.6 	t	fused subunits of thiamin transporter -!- membrane components of ABC superfamily	Integral Membrane Protein		
JW0067	ECK0069	b0068	tbpA	tbpA	sfuA -!- thiB -!- yabI -!- yabL	22 	0.8 	27 	36.1 	7.9 	t	thiamin transporter subunit -!- periplasmic-binding component of ABC superfamily	Periplasmic		53850; Periplasmic binding protein-like II
JW0068	ECK0070	b0069	sgrR	sgrR	yabN	8 	0.3 	19 	63.9 	6.8 	r	DNA-binding transcriptional regulator	Cytoplasmic		46785; Winged helix -!- 53850; Periplasmic binding protein-like II
JW0070	ECK0073	b0071	leuD	leuD		93 	1.3 	28 	22.5 	6.1 	e	3-isopropylmalate isomerase subunit	Cytoplasmic		"52016; Aconitase, C-terminal domain"
JW0071	ECK0074	b0072	leuC	leuC		70 	0.4 	21 	49.8 	6.3 	e	"3-isopropylmalate isomerase subunit, dehydratase component"	Cytoplasmic		"53732; Aconitase, first 3 domains"
JW5807	ECK0075	b0073	leuB	leuB		58 	1.4 	56 	39.5 	5.7 	e	3-isopropylmalate dehydrogenase	Cytoplasmic		53659; Isocitrate & isopropylmalate dehydrogenases
JW0073	ECK0076	b0074	leuA	leuA		10 	1.4 	81 	57.2 	5.8 	e	2-isopropylmalate synthase	Cytoplasmic		51366; Ribulose-phoshate binding barrel
JW0075	ECK0078	b0076	leuO	leuO		8 	1.5 	54 	35.7 	6.3 	r	DNA-binding transcriptional activator	Cytoplasmic		46785; Winged helix -!- 53850; Periplasmic binding protein-like II
JW0076	ECK0079	b0077	ilvI	ilvI		3 	1.0 	64 	62.9 	6.2 	e	"acetolactate synthase III, large subunit"	Cytoplasmic		52467; DHS-like NAD/FAD-binding domain -!- 52518; Thiamin diphosphate-binding fold (THDP-binding)
JW0077	ECK0080	b0078	ilvH	ilvH	brnP	15 	2.3 	41 	18.0 	9.6 	e	"acetolactate synthase III, thiamin-dependent, small subunit"	Cytoplasmic		55021; Regulatory domain in the aminoacid metabolism
JW0079	ECK0082	b0081	mraZ	mraZ	yabB	79 	3.9 	68 	17.4 	6.4 	o	conserved protein	Cytoplasmic		
JW0080	ECK0083	b0082	mraW	mraW	yabC	66 	0.8 	27 	34.8 	7.0 	e	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	Cytoplasmic		53335; S-adenosyl-L-methionine-dependent methyltransferases
JW0081	ECK0084	b0083	ftsL	ftsL	yabD -!- mraR	25 	1.7 	23 	13.6 	7.4 	cp	membrane bound cell division protein at septum containing leucine zipper motif	Membrane Anchored		
JW0082	ECK0085	b0084	ftsI	ftsI	pbpB -!- sep	22 	0.3 	21 	63.8 	10.2 	e	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	Membrane Anchored		"56519; Penicillin-binding protein 2x (pbp-2x), N-terminal domain -!- 56601; beta-Lactamase/D-ala carboxypeptidase"
JW0083	ECK0086	b0085	murE	murE		35 	1.3 	70 	53.3 	5.8 	e	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	Cytoplasmic		"53244; MurD-like peptide ligases, peptide-binding domain -!- 53623; MurD-like peptide ligases, catalytic domain -!- 63418; MurE/MurF N-terminal domain"
JW0084	ECK0087	b0086	murF	murF	mra	59 	1.7 	79 	47.4 	5.8 	e	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	Cytoplasmic		"53244; MurD-like peptide ligases, peptide-binding domain -!- 53623; MurD-like peptide ligases, catalytic domain -!- 63418; MurE/MurF N-terminal domain"
JW0086	ECK0089	b0088	murD	murD		68 	1.7 	79 	46.9 	5.6 	e	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	Cytoplasmic		"51984; UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase MurD, N-terminal domain -!- 53244; MurD-like peptide ligases, peptide-binding domain -!- 53623; MurD-like peptide ligases, catalytic domain"
JW0088	ECK0091	b0090	murG	murG		49 	1.4 	52 	37.8 	10.3 	e	N-acetylglucosaminyl transferase	Membrane Associated	1NLM	53756; UDP-Glycosyltransferase/glycogen phosphorylase
JW0089	ECK0092	b0091	murC	murC		77 	0.1 	5 	53.6 	5.9 	e	UDP-N-acetylmuramate:L-alanine ligase	Cytoplasmic		"51984; UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase MurD, N-terminal domain -!- 53244; MurD-like peptide ligases, peptide-binding domain -!- 53623; MurD-like peptide ligases, catalytic domain"
JW0090	ECK0093	b0092	ddlB	ddlB	ddl	97 	0.2 	7 	32.8 	5.1 	e	D-Alanine:D-alanine ligase	Cytoplasmic	1IOV	52440; Biotin carboxylase N-terminal domain-like -!- 56059; Glutathione synthetase ATP-binding domain-like
JW0091	ECK0094	b0093	ftsQ	ftsQ		24 	1.8 	55 	31.4 	8.2 	cp	membrane anchored protein involved in growth of wall at septum	Membrane Anchored		
JW0092	ECK0095	b0094	ftsA	ftsA	divA	85 	1.2 	55 	45.3 	6.3 	cp	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	Cytoplasmic		53067; Actin-like ATPase domain
JW0093	ECK0096	b0095	ftsZ	ftsZ	sfiB -!- sulB	80 	2.2 	87 	40.3 	4.7 	cp	GTP-binding tubulin-like cell division protein	Cytoplasmic		"52490; Tubulin, GTPase domain -!- 55307; Tubulin, C-terminal domain"
JW0094	ECK0097	b0096	lpxC	lpxC	asmB -!- envA	17 	1.9 	63 	33.9 	6.3 	e	UDP-3-O-acyl N-acetylglucosamine deacetylase	Cytoplasmic		
JW0096	ECK0099	b0098	secA	secA	azi -!- pea -!- prlD	58 	0.4 	43 	101.9 	5.5 	t	"preprotein translocase subunit, ATPase that targets protein precursors to the SecYE core translocon"	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0097	ECK0100	b0099	mutT	mutT	nudA	108 	1.1 	17 	14.9 	6.0 	e	"nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP"	Cytoplasmic	1PUS	55811; Nudix
JW5008	ECK0101	b0101	yacG	yacG		92 	6.1 	44 	7.3 	6.1 	o	conserved protein	Cytoplasmic	1LV3	
JW0099	ECK0102	b0102	yacF	yacF		80 	1.5 	43 	28.3 	7.3 	o	conserved protein	Cytoplasmic		
JW0100	ECK0103	b0103	coaE	coaE	yacE	64 	3.2 	72 	22.6 	6.6 	e	dephospho-CoA kinase	Periplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0103	ECK0106	b0107	hofB	hofB	hopB	17 	1.4 	70 	50.6 	6.6 	d	conserved protein with nucleoside triphosphate hydrolase domain	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0104	ECK0107	b0108	ppdD	ppdD		10 	1.5 	23 	15.6 	6.2 	ps	predicted major pilin subunit	Membrane Anchored		54523; Pilin
JW0106	ECK0109	b0110	ampD	ampD		60 	0.7 	14 	20.5 	6.1 	e	N-acetyl-anhydromuranmyl-L-alanine amidase	Cytoplasmic		
JW0107	ECK0110	b0111	ampE	ampE		3 	2.5 	80 	32.1 	10.3 	pm	predicted inner membrane protein	Integral Membrane Protein		
JW0109	ECK0112	b0113	pdhR	pdhR	yacB -!- dcuA -!- aceC -!- genA	4 	2.5 	72 	29.4 	6.7 	r	DNA-binding transcriptional dual regulator	Cytoplasmic		46785; Winged helix
JW0110	ECK0113	b0114	aceE	aceE		16 	0.5 	53 	99.6 	5.6 	e	"pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding"	Cytoplasmic	1RP7	52518; Thiamin diphosphate-binding fold (THDP-binding) -!- 52922; Transketolase C-terminal domain-like
JW0111	ECK0114	b0115	aceF	aceF		95 	1.2 	80 	66.0 	5.2 	e	"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2"	Cytoplasmic		47005; Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex -!- 51230; Single hybrid motif -!- 52777; CoA-dependent acyltransferases
JW0112	ECK0115	b0116	lpd	lpd	dhl -!- lpdA	79 	3.3 	168 	50.6 	6.2 	e	"lipoamide dehydrogenase, E3 component is part of three enzyme complexes"	Cytoplasmic		"51905; FAD/NAD(P)-binding domain -!- 55424; FAD/NAD-linked reductases, dimerisation (C-terminal) domain"
JW0113	ECK0116	b0117	yacH	yacH	orf(ace)	13 	0.3 	23 	69.3 	8.9 	o	predicted protein	Periplasmic		
JW0114	ECK0117	b0118	acnB	acnB	yacI -!- yacJ	90 	0.5 	48 	93.4 	5.4 	e	bifunctional aconitate hydratase 2 -!- 2-methylisocitrate dehydratase	Cytoplasmic		"52016; Aconitase, C-terminal domain -!- 53732; Aconitase, first 3 domains"
JW0115	ECK0118	b0119	yacL	yacL		83 	0.8 	11 	13.9 	4.8 	o	conserved protein	Cytoplasmic		
JW0116	ECK0119	b0120	speD	speD		36 	4.4 	132 	30.3 	5.7 	e	S-adenosylmethionine decarboxylase	Cytoplasmic		
JW0117	ECK0120	b0121	speE	speE		28 	1.4 	45 	32.3 	5.9 	e	spermidine synthase (putrescine aminopropyltransferase)	Cytoplasmic		53335; S-adenosyl-L-methionine-dependent methyltransferases
JW0118	ECK0121	b0122	yacC	yacC		22 	1.7 	21 	12.8 	7.7 	o	predicted protein	Periplasmic		
JW0119	ECK0122	b0123	cueO	cueO	yacK	6 	1.2 	65 	56.5 	6.6 	e	multicopper oxidase (laccase)	Periplasmic		49503; Cupredoxins
JW0120	ECK0123	b0124	gcd	gcd		19 	0.5 	47 	86.6 	5.8 	e	glucose dehydrogenase	Integral Membrane Protein		50998; Quinoprotein alcohol dehydrogenase
JW5011	ECK0146	b0147	ligT	ligT	yadP	79 	1.6 	33 	19.9 	11.2 	e	2'-5' RNA ligase	Cytoplasmic		
JW0122	ECK0125	b0126	can	can	yadF	48 	0.3 	9 	25.1 	6.7 	e	carbonic anhydrase	Cytoplasmic		"53056; beta-carbonic anhydrase, cab"
JW0123	ECK0126	b0127	yadG	yadG		6 	1.7 	59 	34.6 	9.2 	pt	predicted transporter subunit -!- ATP-binding component of ABC superfamily	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0124	ECK0127	b0128	yadH	yadH		5 	0.8 	24 	28.5 	10.2 	pt	predicted transporter subunit -!- membrane component of ABC superfamily	Integral Membrane Protein		
JW0125	ECK0128	b0129	yadI	yadI	agaX	18 	0.4 	7 	16.5 	6.7 	pt	predicted PTS Enzyme IIA	Cytoplasmic		"53062; IIA domain of mannose transporter, IIA-Man"
JW0126	ECK0129	b0130	yadE	yadE		12 	1.1 	50 	46.3 	10.4 	pe	predicted polysaccharide deacetylase lipoprotein	Periplasmic		
JW0127	ECK0130	b0131	panD	panD		75 	2.6 	37 	13.8 	6.9 	e	aspartate 1-decarboxylase	Cytoplasmic	1PQE	50692; ADC-like
JW5010	ECK0131	b0132	yadD	yadD		22 	1.7 	60 	34.6 	5.7 	ph	predicted transposase	Cytoplasmic		
JW0129	ECK0132	b0133	panC	panC		52 	4.6 	146 	31.6 	6.9 	e	pantothenate synthetase	Cytoplasmic		52374; Nucleotidylyl transferase
JW0130	ECK0133	b0134	panB	panB	ts-9	44 	2.9 	83 	28.2 	5.9 	e	3-methyl-2-oxobutanoate hydroxymethyltransferase	Cytoplasmic		
JW0131	ECK0134	b0135	yadC	yadC		15 	0.6 	27 	44.8 	6.5 	ps	predicted fimbrial-like adhesin protein	Periplasmic		49401; Bacterial adhesins
JW0132	ECK0135	b0136	yadK	yadK		41 	0.8 	17 	21.1 	7.2 	ps	predicted fimbrial-like adhesin protein	Periplasmic		49401; Bacterial adhesins
JW0133	ECK0136	b0137	yadL	yadL		24 	0.9 	18 	21.0 	8.7 	ps	predicted fimbrial-like adhesin protein	Periplasmic		49401; Bacterial adhesins
JW0134	ECK0137	b0138	yadM	yadM		26 	1.1 	23 	20.3 	8.6 	ps	predicted fimbrial-like adhesin protein	Periplasmic		49401; Bacterial adhesins
JW0135	ECK0138	b0139	htrE	htrE		9 	0.1 	12 	95.4 	4.9 	pf	predicted outer membrane usher protein	Outer Membrane B-barrel protein		
JW0137	ECK0140	b0141	yadN	yadN		77 	0.7 	14 	20.1 	7.3 	ps	predicted fimbrial-like adhesin protein	Periplasmic		49401; Bacterial adhesins
JW0138	ECK0141	b0142	folK	folK		67 	1.2 	22 	18.1 	6.4 	e	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	Cytoplasmic	1Q0N	"55083; 6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase, HPPK"
JW5808	ECK0142	b0143	pcnB	pcnB		23 	0.8 	44 	53.8 	10.2 	e	poly(A) polymerase I	Cytoplasmic		
JW0141	ECK0144	b0145	dksA	dksA	msmA	73 	1.0 	17 	17.5 	5.9 	r	"transcriptional regulator of rRNA transcription, DnaK suppressor protein"	Cytoplasmic		
JW0142	ECK0145	b0146	sfsA	sfsA	sfs1 -!- sfs	20 	0.6 	16 	26.2 	7.6 	pr	predicted DNA-binding transcriptional regulator	Cytoplasmic		
JW0144	ECK0147	b0148	hrpB	hrpB	yadO	4 	0.3 	29 	89.1 	6.6 	pe	predicted ATP-dependent helicase	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0146	ECK0149	b0150	fhuA	fhuA	T1 -!- T5rec -!- tonA	7 	0.8 	69 	82.1 	5.9 	t	ferrichrome outer membrane transporter	Outer Membrane B-barrel protein		56935; Porins
JW0147	ECK0150	b0151	fhuC	fhuC		46 	2.2 	62 	28.9 	7.8 	t	iron-hydroxamate transporter subunit -!- ATP-binding component of ABC superfamily	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0150	ECK0153	b0154	hemL	hemL	gsa -!- popC	33 	1.9 	85 	45.3 	4.9 	e	glutamate-1-semialdehyde aminotransferase (aminomutase)	Cytoplasmic		53383; PLP-dependent transferases
JW5012	ECK0154	b0155	clcA	clcA	eriC -!- yadQ	38 	0.6 	32 	50.3 	10.0 	t	"chloride channel, voltage-gated"	Integral Membrane Protein		56869; Membrane all-alpha
JW0152	ECK0155	b0156	yadR	yadR		84 	1.3 	15 	12.1 	5.0 	o	conserved protein	Cytoplasmic		
JW0155	ECK0158	b0159	pfs	pfs	pfs -!- yadA	106 	1.1 	26 	24.3 	5.9 	e	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	Cytoplasmic		53167; Purine and uridine phosphorylases
JW0156	ECK0159	b0160	dgt	dgt	optA	4 	0.4 	23 	59.3 	7.6 	e	deoxyguanosine triphosphate triphosphohydrolase	Cytoplasmic		
JW0157	ECK0160	b0161	degP	degP	htrA -!- ptd	31 	0.9 	47 	49.3 	9.2 	e	"serine endoprotease (protease Do), membrane-associated"	Periplasmic		50156; PDZ domain-like -!- 50494; Trypsin-like serine proteases
JW5013	ECK0161	b0162	cdaR	cdaR	yaeG -!- sdaR	9 	1.8 	77 	43.6 	7.1 	r	DNA-binding transcriptional regulator	Cytoplasmic		
JW0159	ECK0162	b0163	yaeH	yaeH		93 	2.1 	32 	15.1 	8.4 	o	conserved protein	Cytoplasmic		
JW5014	ECK0163	b0164	yaeI	yaeI		6 	0.5 	15 	29.8 	6.8 	pe	predicted phosphatase	Membrane Anchored		56300; Metallo-dependent phosphatases
JW0161	ECK0164	b0166	dapD	dapD	ssa	41 	2.4 	72 	29.9 	6.6 	e	"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase"	Cytoplasmic		51161; Trimeric LpxA-like enzymes
JW0163	ECK0166	b0168	map	map		64 	1.6 	47 	29.3 	6.2 	e	methionine aminopeptidase	Cytoplasmic	1MAT	55920; Creatinase/aminopeptidase
JW0164	ECK0168	b0169	rpsB	rpsB		77 	8.6 	231 	26.7 	8.0 	s	30S ribosomal subunit protein S2	Cytoplasmic	1P87	52313; Ribosomal protein S2
JW0165	ECK0169	b0170	tsf	tsf		87 	7.5 	229 	30.4 	5.8 	f	protein chain elongation factor EF-Ts	Cytoplasmic		"46934; UBA-like -!- 54713; Elongation factor Ts (EF-Ts), dimerisation domain"
JW0166	ECK0170	b0171	pyrH	pyrH	smbA -!- umk	31 	0.6 	15 	25.9 	8.2 	e	uridylate kinase	Cytoplasmic		53633; Carbamate kinase-like
JW0167	ECK0171	b0172	frr	frr	rrf	110 	2.2 	45 	20.6 	8.4 	f	ribosome recycling factor	Cytoplasmic		"55194; Ribosome recycling factor, RRF"
JW0169	ECK0173	b0174	ispU	ispU	uppS -!- rth -!- yaeS	67 	1.1 	30 	28.4 	7.4 	e	undecaprenyl pyrophosphate synthase	Cytoplasmic	1V7U	64005; Undecaprenyl diphosphate synthase
JW0171	ECK0175	b0176	yaeL	yaeL	ecf -!- ecfE	16 	1.3 	62 	49.0 	7.8 	e	zinc metallopeptidase	Integral Membrane Protein		50156; PDZ domain-like
JW0172	ECK0176	b0177	yaeT	yaeT	up05 -!- ecfK -!- yzzN -!- yzzY	32 	0.5 	46 	90.4 	5.0 	d	conserved protein	Outer Membrane B-barrel protein		
JW0173	ECK0177	b0178	hlpA	hlpA	firA -!- ompH -!- skp	49 	1.2 	21 	17.7 	10.3 	f	periplasmic chaperone	Periplasmic	1U2M	
JW0174	ECK0178	b0179	lpxD	lpxD	fir -!- firA -!- hlpA -!- skp -!- ssc -!- omsA	48 	2.6 	93 	36.0 	6.9 	e	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	Cytoplasmic		51161; Trimeric LpxA-like enzymes
JW0175	ECK0179	b0180	fabZ	fabZ	sefA -!- yaeA -!- sabA -!- sfhC	28 	1.2 	21 	17.0 	8.2 	e	(3R)-hydroxymyristol acyl carrier protein dehydratase	Cytoplasmic		54637; Thioesterase/thiol ester dehydrase-isomerase
JW0176	ECK0180	b0181	lpxA	lpxA		22 	4.3 	121 	28.1 	7.3 	e	UDP-N-acetylglucosamine acetyltransferase	Cytoplasmic	1LXA	51161; Trimeric LpxA-like enzymes
JW0177	ECK0181	b0182	lpxB	lpxB	pgsB	47 	1.9 	81 	42.3 	7.3 	e	tetraacyldisaccharide-1-P synthase	Cytoplasmic		53756; UDP-Glycosyltransferase/glycogen phosphorylase
JW0178	ECK0182	b0183	rnhB	rnhB		60 	0.7 	15 	21.5 	8.4 	e	"ribonuclease HII, degrades RNA of DNA-RNA hybrids"	Cytoplasmic		53098; Ribonuclease H-like
JW0179	ECK0183	b0184	dnaE	dnaE	polC -!- sdgC	32 	0.1 	19 	129.7 	5.1 	e	DNA polymerase III alpha subunit	Cytoplasmic		50249; Nucleic acid-binding proteins
